codici_specialita,codici_ospedale,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,capacita_max
spec_71,res_01090701,"3,00","2,00","2,00","2,00","3,00","1,00","1,00","29,00"
spec_71,res_01090800,"4,00","5,00","4,00","3,00","2,00","0,00","1,00","41,00"
spec_71,res_01090101,"5,00","3,00","5,00","4,00","2,00","0,00","0,00","51,00"
spec_32,res_01000801,"5,00","5,00","6,00","6,00","6,00","5,00","4,00","31,00"
spec_32,res_01090400,"5,00","5,00","5,00","6,00","5,00","4,00","4,00","25,00"
spec_32,res_01090600,"7,00","5,00","6,00","6,00","6,00","5,00","4,00","58,00"
spec_32,res_01000802,"0,00","1,00","0,00","0,00","0,00","0,00","1,00","1,00"
spec_32,res_01090800,"3,00","3,00","4,00","3,00","3,00","2,00","1,00","11,00"
spec_32,res_01001200,"5,00","4,00","1,00","0,00","0,00","0,00","0,00","6,00"
spec_32,res_01007901,"3,00","2,00","1,00","1,00","1,00","0,00","0,00","5,00"
spec_32,res_01061200,"4,00","3,00","4,00","2,00","2,00","1,00","2,00","11,00"
spec_32,res_01002603,"3,00","4,00","5,00","3,00","4,00","3,00","3,00","21,00"
spec_32,res_01092000,"3,00","5,00","4,00","4,00","2,00","0,00","0,00","17,00"
spec_32,res_01002602,"0,00","0,00","0,00","1,00","1,00","0,00","0,00","1,00"
spec_32,res_01002601,"5,00","4,00","4,00","5,00","3,00","5,00","3,00","24,00"
spec_32,res_01002606,"1,00","0,00","0,00","0,00","1,00","0,00","1,00","1,00"
spec_32,res_01000502,"1,00","1,00","1,00","0,00","1,00","1,00","0,00","3,00"
spec_32,res_01000300,"6,00","5,00","6,00","7,00","5,00","4,00","4,00","30,00"
spec_32,res_01002604,"4,00","4,00","4,00","2,00","4,00","4,00","3,00","16,00"
spec_32,res_01000501,"4,00","3,00","5,00","5,00","5,00","3,00","4,00","21,00"
spec_32,res_01090101,"20,00","16,00","16,00","9,00","10,00","5,00","6,00","65,00"
spec_32,res_01008500,"6,00","6,00","6,00","7,00","9,00","4,00","4,00","53,00"
spec_32,res_01012001,"5,00","6,00","5,00","4,00","4,00","3,00","3,00","36,00"
spec_32,res_01012002,"0,00","0,00","1,00","0,00","0,00","0,00","0,00","1,00"
spec_32,res_01000901,"5,00","4,00","5,00","4,00","4,00","3,00","3,00","20,00"
spec_32,res_01000700,"3,00","3,00","3,00","2,00","3,00","3,00","2,00","9,00"
spec_32,res_01090501,"8,00","7,00","6,00","5,00","9,00","4,00","4,00","37,00"
spec_32,res_01090701,"8,00","11,00","8,00","8,00","6,00","7,00","4,00","65,00"
spec_32,res_01001100,"3,00","3,00","3,00","3,00","3,00","3,00","2,00","13,00"
spec_32,res_01001700,"5,00","5,00","5,00","7,00","5,00","4,00","6,00","27,00"
spec_32,res_01001903,"1,00","0,00","1,00","0,00","1,00","1,00","0,00","2,00"
spec_32,res_01001901,"4,00","4,00","4,00","5,00","5,00","5,00","3,00","21,00"
spec_32,res_01002301,"5,00","5,00","4,00","6,00","6,00","5,00","4,00","33,00"
spec_32,res_01000401,"2,00","2,00","1,00","2,00","1,00","1,00","1,00","5,00"
spec_32,res_01002302,"1,00","0,00","0,00","1,00","0,00","0,00","0,00","2,00"
spec_32,res_01003001,"5,00","7,00","6,00","5,00","4,00","3,00","5,00","25,00"
spec_32,res_01012601,"4,00","3,00","3,00","4,00","3,00","3,00","4,00","16,00"
spec_32,res_01000601,"2,00","3,00","3,00","2,00","3,00","2,00","2,00","7,00"
spec_32,res_01064000,"4,00","4,00","3,00","3,00","2,00","1,00","0,00","15,00"
